smiles,Tyrosine-protein_kinase_BTK
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)F)ccn4)c(F)c3)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)F)ccn4)cc3)c12,1.0
CC(C)(C)COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Nc1ncc(F)n2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3OCCO)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(C(F)(F)F)cnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3O)c12,1.0
Nc1ncc(Cl)n2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,1.0
CCNC(=O)Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CC(C)(C)C(=O)N3C2)n2ccnc(N)c12,1.0
CCc1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
CC(F)(F)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,1.0
N#Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
CC(F)(F)Oc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
Cc1c(C(F)(F)F)ccnc1NC(=O)c1ccc(-c2nc(C3CCC4CCC(=O)N4C3)n3ccnc(N)c23)cc1,1.0
COc1cc(C(=O)Nc2cc(C#N)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)c(F)c3)c12,1.0
CCc1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4c(Cl)cnc(N)c34)c(OC)c2)c1,1.0
Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
C#CCCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3Cl)c12,1.0
COC(=O)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(F)cnc(N)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc(C2CCC3CC(C)(C)C(=O)N3C2)n2ccnc(N)c12,1.0
Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Nc1nccn2c(C3CCC4CC(O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,1.0
CC(F)(F)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2F)c1,1.0
