smiles,Cyclin-dependent_kinase_2
CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC(C)N1C,0.0
COc1cccc(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,1.0
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,0.0
CC(C)n1nc(C#Cc2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)c2c(N)ncnc21,0.0
CN1CCC(c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4)oc23)C(O)C1,0.0
NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,1.0
Nc1nc(Nc2cccc(Br)c2)nc(OCC2CCCCC2)c1N=O,1.0
Cc1c(-c2ccc3[nH]nc(N)c3c2)nnn1Cc1ccccc1,1.0
CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(N)c(F)c6)ccc45)nc23)CC1,0.0
Cc1cnc(Nc2ccccc2O)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1,1.0
Cn1nc(C(=O)NCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,0.0
COC1CCN(c2nccc(Nc3cc4[nH]c(-c5cn[nH]c5)cc4cn3)n2)CC1,1.0
COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(OC)cc2)cc1,1.0
Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,1.0
CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)csc12,0.0
CC(C)CC1CNC(=O)c2cc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)nc3n21,0.0
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,0.0
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S+](C)O)cc4)n3C)ccc2c1,0.0
CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,0.0
Cc1cc(NS(=O)(=O)c2ccc3ncc(C(N)=O)c(Nc4ccc(Cl)cc4)c3c2)no1,0.0
CN1CCN(c2cc(-c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccn2)CC1,0.0
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,1.0
CC(C)c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,0.0
CC1CN(c2cccc3nc(-c4nc(-c5cccc(C(=O)N(C)C)c5)cnc4N)n(C)c23)CCN1,0.0
Cc1cc(Nc2cnc(C#N)c(NC(C)c3ncc(F)cn3)n2)n[nH]1,1.0
CS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(OC3CCCCC3)n2)cc1,1.0
CC(C)c1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,0.0
Cc1nccc(-c2ccc(C(=O)N3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,0.0
c1ccc2c(c1)CCN2CCCCCN1CCc2ccccc21,0.0
CN1CCN(c2cc(NCc3cccnc3)n3ncc(Br)c3n2)CC1,1.0
Cc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c(-c3ccc(C(F)(F)F)cc3)nn2n1,0.0
NS(=O)(=O)c1ccc(NC=C2C(=O)Nc3ccccc32)cc1,1.0
CC(CO)Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,1.0
