smiles,Epidermal_growth_factor_receptor_erbB1
O=[N+]([O-])c1ccc2ncnc(Nc3ccccc3)c2c1,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
CCN(CC)CCOc1cc2ncnc(Nc3ccc(C)c(Br)c3)c2cc1OC,0.0
O=[N+]([O-])c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,1.0
C#Cc1cccc(Nc2ncnc3ccc(OCCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,1.0
NP(=O)(OCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,1.0
C=C=CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC(C)NC(=O)CCN(CC)CC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCOCCOC(=O)CC(=O)OCC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=S)NCC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)NCC,1.0
COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC(=O)NCCN(CC)CC,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3C)c2c1,0.0
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=S)NCC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CCC,1.0
CCN(CC)CCOc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC,0.0
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,1.0
Cc1cccc(Nc2ncnc3ccc(NC(=O)N(C)CCCl)cc23)c1,0.0
COc1cc(OC(C)C)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(C)C,1.0
COCCN=NNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,1.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CC(C)N(C)C,1.0
CCN(CC)CC=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
CC(=O)N(C)N=Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1.0
CCOc1cc2ncnc(Nc3cc(F)cc(C(F)(F)F)c3)c2cc1OCC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CCCN(C)C,1.0
Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,1.0
COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC,1.0
CCCN(CC=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC,1.0
C=CC(=O)Nc1cc2c(Nc3cc(Cl)c(Cl)cc3F)ncnc2cc1OCCNC(=O)CN(C)C,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(F)=CCN(C)C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC(C)NC(=O)NCCC,1.0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1.0
CC(=O)OCOC(=O)N(C)N=Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Cl)cc3Cl)ncnc2cc1OCCNC(C)=O,1.0
C#Cc1cccc(Nc2ncnc3ccc(OCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCNCC(C)=O,1.0
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,1.0
CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
CC(C)C(NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.0
COc1cc2ncnc(Nc3ccc(B(O)O)cc3)c2cc1OC,0.0
CN(C)CC=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,1.0
Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,0.0
COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,1.0
COc1cc2ncnc(Nc3ccc(C#N)cc3)c2cc1OC,0.0
COc1cc2ncnc(Nc3cccc(SC)c3)c2cc1OC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCNC(=O)CN(C)C,1.0
CC(=O)OCN(C)N=Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
O=C(CCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO,1.0
