smiles,Serine_threonine-protein_kinase_PIM1
Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,0.0
Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C,0.0
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(Nc3ccc(N4CCCCC4)cc3)nc21,0.0
Nc1n[nH]c2ccc(-c3cc(Cc4ccccc4)no3)cc12,0.0
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)C(CO)CC1,1.0
c1cc(C2CC2)nc(-c2c[nH]c3ccc(-c4nnc(C5CC5)o4)cc23)n1,1.0
CN1CCN(CCCNc2cccc(-c3nc4c(C(N)=O)cccc4[nH]3)n2)CC1,1.0
Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,0.0
CC(C)C1(COc2cccc3ccc(-c4nnc5ccccn45)nc23)CCNCC1,1.0
O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Cl)cc12,1.0
CC(=O)Nc1cccc(CNc2nnc(-c3ccc4[nH]cc(-c5ccccc5F)c4c3)s2)c1,1.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.0
NCCNc1ccn2ncc(-c3ccc4[nH]c(=O)[nH]c4c3)c2n1,1.0
O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,1.0
CC(CNc1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3)c2c1N)C(=O)O,0.0
CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4cc(C#N)ccc4F)c3c2)n1,1.0
CCCCNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,1.0
Cc1nccn1-c1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,1.0
COc1ccc(-n2ncc3cnc(-c4cncc(C)n4)cc32)nc1N1CCCNC1=O,1.0
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CC(NC(=O)OC(C)(C)C)C1,1.0
NC1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,1.0
CN(C)CCNc1cncc(-c2ccc3[nH]cc(C(=O)C4CC4)c3c2)n1,1.0
CN(C)CC(C)(C)COc1cccc2ccc(-c3nnc4ccccn34)nc12,1.0
NC1CCCN(c2ccncc2NC(=O)c2csc(-c3ccccc3)n2)C1,1.0
CCOC1CN(c2ccc(Nc3nc4c(-c5nnc[nH]5)cccc4c4cnccc34)c(Cl)c2)CCO1,1.0
Nc1ccc(-c2ccccc2Cl)nc1C(=O)Nc1cnccc1N1CCCC(N)C1,1.0
CC1CSc2c(C(=O)O)c(=O)c3cc(F)c(N4CCC(N)C4)cc3n21,1.0
CC1NC(=O)c2cc(-c3cccc4c(=O)[nH]c(NC(C)(C)C)nc34)[nH]c21,1.0
Fc1cccc(F)c1-c1nc2c(Nc3cnccc3OC3CCNC3)cccc2s1,1.0
O=C1CC(c2ccccc2)Cc2[nH]c3cc(Cl)ccc3c(=O)c21,0.0
CN(C)Cc1nc2c(sc3ccc(-c4ccc[nH]4)cc32)c(=O)[nH]1,1.0
Cc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(OCCC#N)C(N)C3)ccc2F)c(F)c1,1.0
COc1cc(C(=O)O)ccc1-c1cncc(-n2ncc3ccc(NC(C)C)cc32)n1,0.0
Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,1.0
