smiles,Serine_threonine-protein_kinase_PIM1
Cc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(OCCC#N)C(N)C3)ccc2F)c(F)c1,1.0
Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnccc3C3CC(C)C(O)C(N)C3)n2)c1,1.0
CCOCc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(NC(=O)OC)C(N)C3)ccc2F)c(F)c1,1.0
Nc1cc(F)c(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1C1CC(N)CC(C(F)(F)F)C1,1.0
CC1CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC(N)C1C#N,1.0
NC1CCCC(c2ccncc2NC(=O)c2cccc(-c3cc(F)cc(F)c3F)n2)C1,1.0
Cc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(S(C)(=O)=O)C(N)C3)ccc2F)c(F)c1,1.0
COC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)CC1N,1.0
NC1CCCC(c2ccncc2NC(=O)c2ccc(F)c(-c3cc(O)ccc3F)n2)C1,1.0
NC1CCCC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,1.0
Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnccc3C3CC(N)CC(C)(C)C3)n2)c1F,1.0
CCc1ccc(F)c(-c2cccc(C(=O)Nc3cnccc3C3CCC(O)C(N)C3)n2)c1F,1.0
CC1CC(N)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)ccc(O)c3F)n2)C1,1.0
CCOC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC1N,1.0
CC1CC(N)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(O)cc3F)n2)C1,1.0
CC1(C)CC(N)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3ccc(O)cc3F)n2)C1,1.0
CC1CC(N)CC(c2ccncc2NC(=O)c2cccc(-c3ccccc3F)n2)C1,1.0
Nc1ccc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1C1CCC(O)C(N)C1,1.0
CC1CC(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)CC(N)C1OCCC#N,1.0
CC1CC(N)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3ccc(F)cc3F)n2)C1,1.0
CC1CC(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)CC(N)C1O,1.0
COCCOc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(OC)C(N)C3)ccc2F)c(F)c1,1.0
NC1CC(c2ccncc2NC(=O)c2ccc(F)c(-c3ccccc3F)n2)CCC1O,1.0
CCOCc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(OCCS(C)(=O)=O)C(N)C3)ccc2F)c(F)c1,1.0
CC(C)OC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC1N,1.0
