smiles,Serine_threonine-protein_kinase_mTOR
CCOc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C#N,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(C(N)=O)cc3)nc2n1,1.0
C=CCN(C)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
C#CCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(CNS(C)(=O)=O)cc3)nc2n1,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4cccc(CO)c4)nc3n2)CC(C)O1,1.0
CCN(C)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1OC,1.0
CC(=O)NCc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(=O)NCCF)c3)nc2n1,1.0
CNC(=O)c1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1OC,1.0
CC(=O)NCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CNC(=O)C(F)(F)F)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)cc3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(CNCCF)c3)nc2n1,0.0
CC1COCCN1c1nc(N2CCOCC2)nc2nc(-c3ccc(Cl)cc3)ccc12,1.0
CCCNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C#N,1.0
CCN(CC)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CCN(CC)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4ccc(O)cc4)nc3n2)CC(C)O1,1.0
