rg,smi,lable
[Zn][Ti][Co][Sc]([Zn][Sc][Co][Ni][Hf])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,
[Sc][Zn]([Ni][Zn])[Ni][Hf]=[Ti][Co][Ni][Sc][Y][Zn],CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,
[Y][Zn][Mn][Ti][Co][Ni][Co][Hf],O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,
[Sc][Zn][Ni][Sc][Co][Sc]=[Sc][Sc][Zn][Nb][Zn][Ni][Zn],CS(=O)(=O)CCNCc1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c(OC)c1,
[Sc]=[Sc](=[Re])=[Sc]([Zn])[Sc]([Zn])[Zn],Cc1nn(-c2ccc(Cl)cc2Cl)c2c1c1c(c3cccn32)C(=O)NC1=O,
[Sc][Sc]([Sc][Zn])[Ni][Co][Sc][Ni][Zn],COc1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,
[Sc][Sc][Co][Sc]([Ni][Zn])[Ni][Zn]([Zn])[Zn],CCN(CC)S(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3)o2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Ni][Zn][Ni][Zn],COCCOc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,
[Zn][Sc][Co][Ni][Co][Sc][Sc][Co][Sc]([Zn])[Y][Zn],CCCCc1cc(NC(=O)Nc2ccc(-c3cnc(Nc4cc(N5CCN(C)CC5)nc(C)n4)s3)cc2)no1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc]([Ni])[Ni])[Nb]([Zn])[Zn],CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(F)ccc2F)c1,
[Sc][Ti]([Sc])([Zn])[Sc]([Zn])=[Sc][Sc][Zn],Cc1ccc(-n2cc3c(-c4c(C)[nH]c(-c5ccccc5)c4-c4ccccc4)nnc(C)c3n2)cc1,
[Co][Sc]([Sc][Co][Ni][Zn][Nb]([Zn])[Zn])=[Sc][Sc][Co][Ni][Co][Sc][Zn],Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5ccc(NC(=O)CCCN(C)C)cc5)cnc(N)c34)cc2)c1,
[Sc]=[Sc]([Sc][Ni])[Sc][Co][Sc]=[W],Fc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc4c(c3)OCCO4)n2)cc1,
[Sc][Sc](=[Sc][Hf][Ni][Ni][Zn])[Co][Ti][Zn],CCOC(=O)C1CCN(c2ccc3c(Nc4cc(C)[nH]n4)nc(-c4ccccc4)nc3c2)CC1,
[Mn][Mn][Cu],O=c1[nH]c2ccc(O)cc2n1-c1nc2ccccc2[nH]1,
[Zn][Y][Sc][Ti]=[Sc][Ti]([Zn])[Hf],Cc1[nH]nc(C2CC2)c1-c1ccc2c(-c3ccc(N4CCN(C)CC4)nc3)n[nH]c2c1,
